,forcing function
184,0.7870559560550717
185,-0.18933479284822263
186,-1.2947350700914049
187,-2.10314095942065
188,-2.2976400832280732
189,-1.9030395770768282
190,-1.3037825048711498
191,-1.0182696708288006
192,-1.3728313736523385
193,-2.2953982474754446
194,-3.3712913503002335
195,-4.123273932738288
196,-4.322318472283913
197,-4.115719966992999
198,-3.889681036726734
199,-3.9709884903282195
200,-4.383134781268186
201,-4.828563329316497
202,-4.90446533447278
203,-4.394191978883156
204,-3.4275146080461023
205,-2.4018590603781527
206,-1.727730158603849
207,-1.5801894257505147
208,-1.8224281763049262
209,-2.1356908885485697
210,-2.2435987828553183
211,-2.065022318988803
212,-1.701037052162472
213,-1.296165026197089
214,-0.9057159247802837
215,-0.4814335662875719
216,0.022094208711106733
217,0.5260598043241582
218,0.8145576859275183
219,0.6647322098197492
220,0.02932045296096364
221,-0.8782184883444062
222,-1.6855889084255438
223,-2.1002706357785574
224,-2.120497774012093
225,-2.057675572040977
226,-2.3362071122573345
227,-3.1986252605486256
228,-4.521165070038592
229,-5.875668321643886
230,-6.802645333268155
231,-7.108882224801173
232,-6.981797850224525
233,-6.839991065811769
234,-7.025733734037258
235,-7.557318212042308
236,-8.116411100614929
237,-8.278393684428375
238,-7.821836766895574
239,-6.899066628736686
240,-5.950036956055728
241,-5.422420036170258
242,-5.492283825370199
243,-5.970935120162207
244,-6.4464539395213665
245,-6.5460786159401465
246,-6.134212161427493
247,-5.325238223784388
248,-4.334462948720826
249,-3.3032273736501154
250,-2.234387373032011
251,-1.0701297720135623
252,0.17693344219095974
253,1.3693811921120744
254,2.3274208931174614
255,2.9859901679939935
256,3.490501332990633
257,4.132993589651947
258,5.154530588822602
259,6.553905183094898
260,8.054052170291786
261,9.269641480631986
262,9.968562490568798
263,10.240389087286161
264,10.441721683122612
265,10.946083850393975
266,11.871412693199131
267,12.982306007987692
268,13.844479435619387
269,14.128453299149395
270,13.848499026468748
271,13.363793781675724
272,13.134983114318048
273,13.403103688769688
274,14.014659740411293
275,14.51558958841976
276,14.44994208237475
277,13.659046435741402
278,12.3814218890583
279,11.095806400919576
280,10.225358805331847
281,9.906052484089015
282,9.961846915310925
283,10.07492468103789
284,10.007116044137277
285,9.711801300008695
286,9.277292486228216
287,8.77815079933252
288,8.174830450052255
289,7.349284618182297
290,6.242062363018855
291,4.965527691383261
292,3.782279034998224
293,2.9471187585591294
294,2.5279228037217742
295,2.3499641832782836
296,2.1213156468094305
297,1.6571240369038662
298,1.0359109925035108
299,0.5615513034878835
300,-0.5615513034878835
301,-1.0359109925035108
302,-1.6571240369038662
303,-2.1213156468094305
304,-2.3499641832782836
305,-2.5279228037217742
306,-2.9471187585591294
307,-3.782279034998224
308,-4.965527691383261
309,-6.242062363018855
310,-7.349284618182297
311,-8.174830450052255
312,-8.77815079933252
313,-9.277292486228216
314,-9.711801300008695
315,-10.007116044137277
316,-10.07492468103789
317,-9.961846915310925
318,-9.906052484089015
319,-10.225358805331847
320,-11.095806400919576
321,-12.3814218890583
322,-13.659046435741402
323,-14.44994208237475
324,-14.51558958841976
325,-14.014659740411293
326,-13.403103688769688
327,-13.134983114318048
328,-13.363793781675724
329,-13.848499026468748
330,-14.128453299149395
