,forcing function
1026,1.927372569393417
1027,1.8961651169124856
1028,1.9758376443242236
1029,2.1987600430897483
1030,2.531682514327282
1031,2.8879625471941544
1032,3.164181607392602
1033,3.283920220293926
1034,3.2284276585694105
1035,3.0406675974982678
1036,2.802262179222662
1037,2.5956773275550766
1038,2.4703212929147527
1039,2.428159442612309
1040,2.4338292145476603
1041,2.441655016055854
1042,2.4238479717452623
1043,2.384534945106279
1044,2.352668922105401
1045,2.358752173832003
1046,2.409332111524191
1047,2.4746243133315162
1048,2.4976134100954286
1049,2.421236135376945
1050,2.2199544279844114
1051,1.918704234874289
1052,1.5878296341908593
1053,1.3145243372297009
1054,1.163512373217432
1055,1.1459093581785098
1056,1.2120373028092646
1057,1.2727406822573624
1058,1.2399018597085882
1059,1.0672425299581587
1060,0.7719818854231585
1061,0.4268927363909122
1062,0.1264398300427752
1063,-0.05690254318321253
1064,-0.10544565439266552
1065,-0.0629054344695204
1066,-0.012293444598482889
1067,-0.03629193036623793
1068,-0.17938914704648182
1069,-0.42958407715425884
1070,-0.7274028666930743
1071,-0.9964668479834458
1072,-1.1796726715168524
1073,-1.2631388257471443
1074,-1.2771308633501535
1075,-1.2753609097322465
1076,-1.305018425424942
1077,-1.384042690670046
1078,-1.4975119545625635
1079,-1.6141966826096596
1080,-1.713097563347079
1081,-1.8041319152236972
1082,-1.9300873482148977
1083,-2.147052880860243
1084,-2.492510317758523
1085,-2.957788261960712
1086,-3.4805151286595013
1087,-3.9633058175136022
1088,-4.311762836607579
1089,-4.474608921596144
1090,-4.466734153107921
1091,-4.363427657590035
1092,-4.267588375959226
1093,-4.264692342985199
1094,-4.386321604061588
1095,-4.599091379264663
1096,-4.823721165147246
1097,-4.974664131941617
1098,-5.001119351086496
1099,-4.910027746409226
1100,-4.7607852922396505
1101,-4.635289240885181
1102,-4.598686538205762
1103,-4.670104702820764
1104,-4.816987979517366
1105,-4.974494567248494
1106,-5.078970990648147
1107,-5.098039705695237
1108,-5.042406063286544
1109,-4.954549470324348
1110,-4.881665704300503
1111,-4.848226437510024
1112,-4.843236794143941
1113,-4.828965652874448
1114,-4.766040106302654
1115,-4.640641945196675
1116,-4.478013437672937
1117,-4.3334979762876635
1118,-4.264352321444669
1119,-4.296331277150492
1120,-4.402840482224721
1121,-4.509046046306674
1122,-4.521194592459174
1123,-4.36853436535538
1124,-4.038166585614417
1125,-3.585644069246199
1126,-3.115193641041241
1127,-2.737785864958207
1128,-2.525910432661657
1129,-2.4855971927852187
1130,-2.5580857668111645
1131,-2.6495450867894754
1132,-2.6741962004055706
1133,-2.5904016692536675
1134,-2.413432997328777
1135,-2.2004795788752274
1136,-2.017035162635418
1137,-1.9023792192385074
1138,-1.851371335580144
1139,-1.8207257541343294
1140,-1.7551307159257408
1141,-1.6186029144329086
1142,-1.4143224256192324
1143,-1.1827856890174508
1144,-0.9798532235725613
1145,-0.8469614754983994
1146,-0.7898301589647145
1147,-0.7773321721717313
1148,-0.7612698950381518
1149,-0.7063694296580201
1150,-0.6139192453205261
1151,-0.5253570286884404
1152,-0.5024229509367413
1153,-0.5930122527227355
1154,-0.8000789222744407
1155,-1.0704420679520212
1156,-1.3110896775515957
1157,-1.4270100128922485
1158,-1.3634603182822875
1159,-1.1325757336327291
1160,-0.8110375403155645
1161,-0.5089931916728103
1162,-0.32403652441661324
1163,-0.3011677851263211
1164,-0.41677842639615337
1165,-0.5932599498770889
1166,-0.7364244430846083
1167,-0.7775548127720632
1168,-0.7005151269023485
1169,-0.5424002709352844
1170,-0.3694944843260548
1171,-0.2421517626121438
