,training_2,training_1
153,0.00793157264036301,0.780123850078126
154,0.018041222004377716,0.807272445199844
155,0.0295822501709824,0.8342655445507676
156,0.04250570238117675,0.860916993655986
157,0.05675468672880654,0.8870467373145519
158,0.07226466879555653,0.9124830954073541
159,0.08896380876080745,0.9370649328118289
160,0.10677333919509821,0.9606436933513228
161,0.12560798151747193,0.9830852694317258
162,0.1453763988802245,1.0042716811448098
163,0.16598168303996577,1.0241025411164764
164,0.1873218725820192,1.0424962842161176
165,0.20929049968854954,1.0593911443831552
166,0.2317771624786178,1.0747458642243337
167,0.2546681198037001,1.0885401266469055
168,0.2778469052532502,1.1007747015660037
169,0.30119495701531873,1.1114713046110705
170,0.3245922601447155,1.120672168699303
171,0.3479179977192524,1.1284393332927698
172,0.3710512073107286,1.1348536600524604
173,0.39387143916399214,1.1400135873952355
174,0.41625941246434295,1.144033640095029
175,0.43809766607946227,1.1470427134963606
176,0.4592712001894709,1.1491821550795087
177,0.47966810526461584,1.1506036689869645
178,0.4991801749171497,1.1514670716503141
179,0.5177034992390221,1.1519379288089315
180,0.5351390353417834,1.1521851059563561
181,0.5513931519381235,1.1523782655619101
182,0.5663781449444796,1.1526853452739394
183,0.5800127212421786,1.1532700517048282
184,0.59222244790729,1.1542894043190084
185,0.6029401644081971,1.155891363393544
186,0.6121063554722405,1.1582125750035186
187,0.6196694825380233,1.1613762645121635
188,0.6255862719371073,1.165490308139731
189,0.6298219581861095,1.1706455098681394
190,0.6323504810171392,1.1769141082432355
191,0.6331546350284817,1.1843485345966587
192,0.6322261710984023,1.192980440867886
193,0.6295658489703894,1.2028200116066576
194,0.6251834406872597,1.2138555709273184
195,0.6190976848224128,1.226053491219032
196,0.6113361917279238,1.2393584063452205
197,0.6019353002892575,1.2536937279451414
198,0.5909398869443624,1.2689624593381104
199,0.5784031279880018,1.285048297481268
200,0.5643862164405644,1.301817009500531
201,0.5489580350112926,1.3191180665560165
202,0.532194786928648,1.3367865142675024
203,0.5141795866431533,1.3546450556629515
204,0.4950020126299628,1.3725063196667768
205,0.47475762472784194,1.3901752855557428
206,0.4535474486470957,1.4074518316155435
207,0.43147743046077003,1.4241333744586595
208,0.4086578640588228,1.4400175641411295
209,0.3852027946947992,1.4549049993586893
210,0.36122940188625186,1.4686019266256216
211,0.33685736504445984,1.4809228874464706
212,0.3122082153036926,1.4916932780819006
213,0.2874046770969797,1.5007517875777852
214,0.26257000308124817,1.5079526812562265
215,0.23782730605111335,1.5131678988397221
216,0.2132988914970588,1.5162889387676797
217,0.18910559445933917,1.5172285030368486
218,0.1653661243050776,1.5159218800160528
219,0.14219642101099753,1.5123280461095643
220,0.11970902647064802,1.5064304708262655
221,0.0980124742606961,1.49823761370384
222,0.07721070119829801,1.4877831055860742
223,0.057402483900299936,1.4751256109027053
224,0.03868090341588176,1.4603483717989487
225,0.021132840848584647,1.4435584391495198
226,0.0048385067109914665,1.4248855996127956
227,-0.01012899343131779,1.4044810118802875
228,-0.02370405467179605,1.3825155690997302
229,-0.03582892769024146,1.359178008046741
230,-0.04645403098092156,1.3346727889410084
231,-0.055538218703738026,1.3092177728044436
232,-0.06304900272633199,1.2830417259003704
233,-0.0689627276787787,1.256381683039577
234,-0.0732646981024503,1.2294802033610248
235,-0.07594925703970105,1.2025825535685153
