,Time,V,Pitch_Deg,Pitch_Rad,Theta_dot_deg
26,0.4464111,-0.5206915,0.0,0.0,0.0
27,0.4624939,-0.5421999,0.0,0.0,0.0
28,0.4790649,-0.5537882,0.0,0.0,0.0
29,0.4949646,-0.5783916,0.0,0.0,0.0
30,0.5128174,-0.6045529,0.0,0.0,0.0
31,0.5284424,-0.6180826,0.0,0.0,0.0
32,0.5451965,-0.6457594,0.0,0.0,0.0
33,0.5621033,-0.6738763,0.0,0.0,0.0
34,0.5791931,-0.6879548,0.0,0.0,0.0
35,0.5959778,-0.7158628,0.0,0.0,0.0
36,0.6122437,-0.7430583,0.0,0.0,0.0
37,0.6291809,-0.7562499,0.0,0.0,0.0
38,0.6456299,-0.781554,0.0,0.0,0.0
39,0.6621094,-0.8050833,0.0,0.0,0.0
40,0.6789856,-0.8160644,0.0,0.0,0.0
41,0.6958923,-0.8362432,0.0,0.0,0.0
42,0.7123108,-0.8537888,0.0,0.0,0.0
43,0.7286682,-0.8613619837000001,0.034776387359999994,0.0006069624613809385,2.126033927152241
44,0.7452698,-0.8739471447999999,0.12720603456,0.002220164131477696,5.567514408249809
45,0.7629395,-0.8826851130000001,0.25830991296,0.004508358471691972,7.419700300514436
46,0.7785339,-0.884303234,0.44456035535999994,0.00775904192486802,11.943418304006556
47,0.79599,-0.8859465169999999,0.6659041593600001,0.011622220083557018,12.68002612267348
48,0.8122559,-0.8828624700000001,0.9137469369600001,0.015947892579965067,15.23695446301767
49,0.8287659,-0.8762979999999999,1.19166963696,0.02079855876099751,16.833597819503296
50,0.8459167,-0.86510124,1.4810513889599997,0.02584922312858719,16.872784476525947
51,0.861908,-0.8490345300000001,1.7729398209599996,0.030943637315470767,18.25295204267315
52,0.8787842,-0.83366674,2.0565920865599994,0.03589430328093221,16.807827923347652
53,0.8953247,-0.8099567599999999,2.3162519793599996,0.040426223345667735,15.698430688310564
54,0.9119263,-0.7821421199999999,2.5433252697599995,0.044389399906484966,13.67779553777949
55,0.9288635,-0.75935325,2.750345278559999,0.048002580677552587,12.222800037786621
56,0.9448242,-0.7256260999999999,2.9365957209599993,0.05125326413072864,11.669315405965895
57,0.9628601,-0.6888759,3.1060157673599993,0.054210201759290214,9.393490006043503
58,0.9789124,-0.6606379,3.2603958129599993,0.0569046418543892,9.617316247515918
59,0.9960632,-0.6198418,3.3857701257599997,0.059092836410174474,7.310114560253766
60,1.012756,-0.5773166,3.4789159785600003,0.060718538226112465,5.580001725294792
61,1.029297,-0.5460667,3.5072466580799997,0.061213001863063776,1.7127549434737614
62,1.045837,-0.5022015,3.5072466580799997,0.061213001863063776,0.0
63,1.062347,-0.4581341,3.5072466580799997,0.061213001863063776,0.0
64,1.07901,-0.4265975000000001,3.5072466580799997,0.061213001863063776,0.0
65,1.095306,-0.3829247,3.5072466580799997,0.061213001863063776,0.0
66,1.112579,-0.3399452,3.5072466580799997,0.061213001863063776,0.0
67,1.128448,-0.30928900000000004,3.5072466580799997,0.061213001863063776,0.0
68,1.146118,-0.2679392,3.5072466580799997,0.061213001863063776,0.0
69,1.162048,-0.22801209999999994,3.5072466580799997,0.061213001863063776,0.0
70,1.17868,-0.19914479999999996,3.5072466580799997,0.061213001863063776,0.0
71,1.195587,-0.16176790000000002,3.5072466580799997,0.061213001863063776,0.0
72,1.21228,-0.12629659999999998,3.5072466580799997,0.061213001863063776,0.0
73,1.22934,-0.09981999999999996,3.5072466580799997,0.061213001863063776,0.0
74,1.245819,-0.06740790000000002,3.5072466580799997,0.061213001863063776,0.0
75,1.262573,-0.037090299999999965,3.5072466580799997,0.061213001863063776,0.0
76,1.279053,-0.013240300000000038,3.5072466580799997,0.061213001863063776,0.0
77,1.295746,0.013963200000000009,3.5072466580799997,0.061213001863063776,0.0
78,1.312134,0.039185700000000045,3.5072466580799997,0.061213001863063776,0.0
79,1.3284,0.06054989999999999,3.5072466580799997,0.061213001863063776,0.0
80,1.345734,0.08304139999999993,3.5072466580799997,0.061213001863063776,0.0
81,1.361481,0.10393809999999998,3.5072466580799997,0.061213001863063776,0.0
82,1.379028,0.12329660000000003,3.5072466580799997,0.061213001863063776,0.0
83,1.394836,0.14221239999999996,3.5072466580799997,0.061213001863063776,0.0
84,1.411896,0.16012880000000002,3.5072466580799997,0.061213001863063776,0.0
85,1.429138,0.17822279999999996,3.5072466580799997,0.061213001863063776,0.0
86,1.445892,0.19515940000000004,3.5072466580799997,0.061213001863063776,0.0
87,1.461823,0.21181309999999998,3.5072466580799997,0.061213001863063776,0.0
88,1.478546,0.22953470000000004,3.5072466580799997,0.061213001863063776,0.0
89,1.494965,0.2463164,3.5072466580799997,0.061213001863063776,0.0
90,1.51178,0.26355180000000006,3.5072466580799997,0.061213001863063776,0.0
91,1.528809,0.2818176,3.5072466580799997,0.061213001863063776,0.0
92,1.545807,0.30024209999999996,3.5072466580799997,0.061213001863063776,0.0
93,1.562256,0.31977590000000006,3.5072466580799997,0.061213001863063776,0.0
94,1.578705,0.3394022,3.5072466580799997,0.061213001863063776,0.0
95,1.595764,0.36099590000000004,3.5072466580799997,0.061213001863063776,0.0
96,1.612122,0.38418649999999993,3.5072466580799997,0.061213001863063776,0.0
97,1.628876,0.4057806,3.5072466580799997,0.061213001863063776,0.0
98,1.645508,0.43159759999999997,3.5072466580799997,0.061213001863063776,0.0
99,1.66217,0.4592683000000001,3.5072466580799997,0.061213001863063776,0.0
100,1.67984,0.48314970000000007,3.5072466580799997,0.061213001863063776,0.0
101,1.695953,0.5136377,3.5072466580799997,0.061213001863063776,0.0
102,1.712036,0.545974,3.5072466580799997,0.061213001863063776,0.0
103,1.729065,0.5721362999999999,3.5072466580799997,0.061213001863063776,0.0
104,1.745148,0.6070842000000001,3.5072466580799997,0.061213001863063776,0.0
