,X,Y,Z
0,0.0,0.2,4
1,6.0,0.2,4
2,12.0,0.2,4
3,18.0,0.2,4
4,24.0,0.2,4
5,30.0,0.2,4
6,36.0,0.2,4
7,42.0,0.2,4
8,48.0,0.2,4
9,54.0,0.2,4
10,60.0,0.2,4
11,66.0,0.2,4
12,72.0,0.2,4
13,78.0,0.2,4
14,84.0,0.2,4
15,90.0,0.2,4
16,96.0,0.2,4
17,102.0,0.2,4
18,108.0,0.2,4
19,0.0,0.2,12
20,6.0,0.2,12
21,12.0,0.2,12
22,18.0,0.2,12
23,24.0,0.2,12
24,30.0,0.2,12
25,36.0,0.2,12
26,42.0,0.2,12
27,48.0,0.2,12
28,54.0,0.2,12
29,60.0,0.2,12
30,66.0,0.2,12
31,72.0,0.2,12
32,78.0,0.2,12
33,84.0,0.2,12
34,90.0,0.2,12
35,96.0,0.2,12
36,102.0,0.2,12
37,108.0,0.2,12
38,0.0,0.2,20
39,6.0,0.2,20
40,12.0,0.2,20
41,18.0,0.2,20
42,24.0,0.2,20
43,30.0,0.2,20
44,36.0,0.2,20
45,42.0,0.2,20
46,48.0,0.2,20
47,54.0,0.2,20
48,60.0,0.2,20
49,66.0,0.2,20
50,72.0,0.2,20
51,78.0,0.2,20
52,84.0,0.2,20
53,90.0,0.2,20
54,96.0,0.2,20
55,102.0,0.2,20
56,108.0,0.2,20
57,0.0,0.2,28
58,6.0,0.2,28
59,12.0,0.2,28
60,18.0,0.2,28
61,24.0,0.2,28
62,30.0,0.2,28
63,36.0,0.2,28
64,42.0,0.2,28
65,48.0,0.2,28
66,54.0,0.2,28
67,60.0,0.2,28
68,66.0,0.2,28
69,72.0,0.2,28
70,78.0,0.2,28
71,84.0,0.2,28
72,90.0,0.2,28
73,96.0,0.2,28
74,102.0,0.2,28
75,108.0,0.2,28
76,0.0,0.2,36
77,6.0,0.2,36
78,12.0,0.2,36
79,18.0,0.2,36
80,24.0,0.2,36
81,30.0,0.2,36
82,36.0,0.2,36
83,42.0,0.2,36
84,48.0,0.2,36
85,54.0,0.2,36
86,60.0,0.2,36
87,66.0,0.2,36
88,72.0,0.2,36
89,78.0,0.2,36
90,84.0,0.2,36
91,90.0,0.2,36
92,96.0,0.2,36
93,102.0,0.2,36
94,108.0,0.2,36
