,Time,Input,Theta,Theta_deg,U,X,Theta_dot_deg
0,0.0,-0.0,0.0,0.0,0.0,0.0,
1,0.1,-0.004539904997395467,-0.005992674596562017,-0.34335496237826685,0.003135946650750065,0.00015679733253750325,-3.4335496237826684
2,0.2,-0.008090169943749474,-0.02266437351887334,-1.2985729479395087,0.01812372889374643,0.0012197811097623282,-9.552179855612419
3,0.30000000000000004,-0.009876883405951378,-0.04638088394047846,-2.6574288998755144,0.05421076669268283,0.004836505889083792,-13.588559519360052
4,0.4,-0.009510565162951536,-0.0719723160514303,-4.123709951528626,0.11602011350168462,0.013348049898802162,-14.662810516531122
5,0.5,-0.007071067811865476,-0.09386007157818876,-5.377785966226028,0.20254274089389657,0.029276192618581217,-12.540760146974023
6,0.6000000000000001,-0.003090169943749471,-0.1072729054156005,-6.146284736419981,0.3073575434507815,0.05477120683581514,-7.684987701939516
7,0.7000000000000001,0.0015643446504023117,-0.10928699480281875,-6.261683557869677,0.4200311057171689,0.09114063929421265,-1.1539882144969662
8,0.8,0.005877852522924731,-0.09946329453402707,-5.698826993266381,0.5283921002907385,0.13856179959460801,5.628565646032967
9,0.9,0.008910065241883678,-0.07994324308447998,-4.580410429329108,0.6211845279398331,0.19604063100613658,11.18416563937273
10,1.0,0.01,-0.05498195696519352,-3.150234083475509,0.6905214280245926,0.26162592880435787,14.301763458535993
11,1.1,0.00891006524188368,-0.030020670845907066,-1.72005773762191,0.7336041823667373,0.33283220932392443,14.301763458535977
12,1.2000000000000002,0.005877852522924726,-0.01050061939635997,-0.6016411736846364,0.7533326267587099,0.40717904978019687,11.184165639372726
13,1.3,0.0015643446504023108,-0.0006769191275682809,-0.03878460908134027,0.7576729737643464,0.4827293298063496,5.6285656460329685
14,1.4000000000000001,-0.0030901699437494803,-0.002691008514786545,-0.154183430531037,0.7579213313931419,0.558509045064224,-1.1539882144969664
15,1.5,-0.007071067811865474,-0.016103842352198285,-0.92268220072499,0.7662413479190591,0.634717179029834,-7.68498770193954
16,1.6,-0.009510565162951536,-0.037991597878956736,-2.176758215422391,0.7930127441438327,0.7126798836329787,-12.540760146974
17,1.7000000000000002,-0.009876883405951376,-0.06358302998990858,-3.6430392670755034,0.8445687184742194,0.7945589567638814,-14.662810516531112
18,1.8,-0.008090169943749476,-0.0872995404115137,-5.00189521901151,0.9218154409833534,0.88287816473676,-13.58855951936008
19,1.9000000000000001,-0.004539904997395463,-0.10397123933382503,-5.957113204572751,1.0200345687376662,0.9799706652228111,-9.552179855612408
20,2.0,-3.673940397442059e-18,-0.10996391393038704,-6.300468166951018,1.1299118314714443,1.0874679852332665,-3.43354962378267
21,2.1,0.004539904997395473,-0.103971239333825,-5.9571132045727495,1.239567469353534,1.2059419502745155,3.4335496237826804
22,2.2,0.008090169943749472,-0.08729954041151369,-5.001895219011509,1.337145913907167,1.3347776194375507,9.5521798556124
23,2.3000000000000003,0.009876883405951378,-0.06358302998990857,-3.6430392670755025,1.4134001954337074,1.4723049249045945,13.58855951936005
24,2.4000000000000004,0.009510565162951533,-0.03799159787895673,-2.1767582154223906,1.4637077098444564,1.6161603201685029,14.662810516531106
25,2.5,0.007071067811865485,-0.016103842352198267,-0.922682200724989,1.4890779340338636,1.7637996023624183,12.54076014697406
26,2.6,0.003090169943749479,-0.0026910085147865154,-0.1541834305310353,1.4959324209920217,1.9130501201137127,7.684987701939529
27,2.7,-0.0015643446504023126,-0.0006769191275682559,-0.038784609081338836,1.4947050328514087,2.0625819928058844,1.1539882144969638
28,2.8000000000000003,-0.005877852522924741,-0.010500619396359967,-0.6016411736846362,1.4975675427991895,2.2121956215884144,-5.6285656460329685
29,2.9000000000000004,-0.00891006524188368,-0.030020670845907083,-1.7200577376219108,1.5157763949611875,2.3628628184764335,-11.184165639372734
30,3.0,-0.01,-0.05498195696519354,-3.1502340834755103,1.5572189939825307,2.5165125879236188,-14.301763458536046
31,3.1,-0.008910065241883676,-0.07994324308448,-4.58041042932911,1.6246944011596425,2.6756082576807274,-14.301763458535982
32,3.2,-0.005877852522924736,-0.09946329453402711,-5.698826993266383,1.715303222932873,2.8426081388853532,-11.184165639372726
33,3.3000000000000003,-0.0015643446504023059,-0.10928699480281881,-6.26168355786968,1.8210796880875995,3.019427284436377,-5.6285656460329605
34,3.4000000000000004,0.003090169943749485,-0.10727290541560051,-6.1462847364199815,1.9307281290817213,3.207017675294843,1.1539882144969826
35,3.5,0.007071067811865477,-0.09386007157818876,-5.377785966226028,2.032085337228617,3.4051583486103594,7.684987701939559
36,3.6,0.009510565162951535,-0.0719723160514303,-4.123709951528626,2.1147720304355966,3.61250121699357,12.540760146974009
37,3.7,0.00987688340595138,-0.04638088394047846,-2.6574288998755144,2.1724554481284075,3.8268625909217704,14.662810516531106
38,3.8000000000000003,0.008090169943749469,-0.02266437351887333,-1.298572947939508,2.2042298571916286,4.045696856187773,13.588559519360052
39,3.9000000000000004,0.0045399049973954666,-0.005992674596562017,-0.34335496237826685,2.214814036643501,4.266649050879529,9.552179855612405
40,4.0,7.347880794884118e-18,8.26805578156617e-18,4.737247010624808e-16,2.2135226919631115,4.488065887309859,3.4335496237826857
41,4.1000000000000005,-0.004539904997395485,-0.005992674596562022,-0.3433549623782672,2.2122360173254307,4.709353822774287,-3.4335496237826586
42,4.2,-0.00809016994374948,-0.022664373518873376,-1.2985729479395107,2.2228100146832244,4.931106124374719,-9.552179855612469
43,4.3,-0.009876883405951378,-0.046380883940478505,-2.657428899875517,2.254492086345041,5.154971229426131,-13.588559519360112
